Type;Code famille;Intitulé de la famille;Rmq;Ventes France;Taux Fce;Ventes CEE;Taux CEE;Ventes Hors CEE;Taux Hors CEE;Achat France ;Taux Fce;Achat CEE;Taux CEE;Achat hors CEE
Détail;665001;Escompte accordé;;665001;;665002;6/0%;;;765000;2/20 %;;;
Détail;ACIER;ACIER - Barres;VITRAIL;701012;15/20 %;701512;6/0 %;701912;7/0 %;607012;2/20 %;;;
Détail;AC;ACHAT CINTRAGE;ACHATS;701012;;;;;;607012;2/20 %;;;
Détail;ADM;ADMINISTRATION DIVERS;;701012;15/20 %;701512;6/0 %;701912;7/0 %;607012;;;;
Détail;ATTACHE;ATTACHE PLOMB;;701014;15/20 %;701514;6/0 %;701914;7/0 %;607014;;;;
Détail;BACGA;BOITE A CABLE GALVA;;701003;15/20 %;701503;6/0 %;701903;7/0 %;607003;;;;
Détail;BACUI;BARRES CUIVRE PLEINES;;701004;15/20 %;701504;6/0 %;701904;7/0 %;607004;2/20 %;;;
Détail;BACZN;BOITE A CABLE ZINC;;701005;15/20 %;701505;6/0 %;701905;7/0 %;607005;;;;
Détail;BAEALUNI;BOITE A EAU ALU UNI;;701002;15/20 %;701502;6/0 %;701902;7/0 %;607002;;;;
Détail;BAEAL;BOITE A EAU ALU;;701002;15/20 %;701502;6/0 %;701902;7/0 %;607002;;;;
Détail;BAECOZN;BOITE A EAU ECO ZINC;;701005;15/20 %;701505;6/0 %;701905;7/0 %;607005;;;;
Détail;BAEGA;BOITE A EAU GALVA;;701003;15/20 %;701503;6/0 %;701903;7/0 %;607003;;;;
Détail;BAEPB;BOITE A EAU PLOMB;;701001;15/20 %;701501;6/0 %;701901;7/0 %;607001;;;;
Détail;BANDALUEXA;BANDES ALU EXTRUDE ACCESSOIRES;;701002;15/20 %;701502;6/0 %;701902;7/0 %;607002;2/20 %;607502;8/20 %;
Détail;BANDALUEX;BANDES ALU EXTRUDE;;701002;15/20 %;701502;6/0 %;701902;7/0 %;607002;2/20 %;607502;8/20 %;
Détail;BANDALURAL;BANDES ALU EXTRUDE RAL;;701002;15/20 %;701502;6/0 %;701902;7/0 %;607002;2/20 %;607502;8/20 %;
Détail;BFPB;BANDES FILETS ET TABLES PLOMB;;701001;15/20 %;701501;6/0 %;701901;7/0 %;607001;2/20 %;607501;8/20 %;
Détail;BGGA;BANDES GG ALU;;701002;15/20 %;701502;6/0 %;701902;7/0 %;607002;;;;
Détail;BGGG;BANDES GG Galva;;701003;15/20 %;701503;6/0 %;701903;7/0 %;607003;2/20 %;;;
Détail;BGGI;BANDES GG Inox;;701006;15/20 %;701506;6/0 %;701906;7/0 %;607006;2/20 %;;;
Détail;BOBCU;Bobine cuivre ;;701012;15/20 %;701512;6/0 %;701912;7/0 %;607012;2/20 %;607512;8/20 %;607912
Détail;CAG;COSTIERES GALVA;;701003;15/20 %;701503;6/0 %;701903;7/0 %;607003;;;;
Détail;CAISSE;CAISSE VITRAIL PRODUCTION;;;;;;;;;;;;
Détail;CAL;CALOTTE PASSE-BARRE;;701001;15/20 %;701501;6/0 %;701901;7/0 %;607001;;;;
Détail;CHAG;Chapeau galva;;701003;15/20 %;701503;6/0 %;701903;7/0 %;607003;;;;
Détail;CINAL;CINTRAGE ALU;ACHATS;701012;;;;;;607012;2/20 %;607512;8/20 %;
Détail;CINCU;CINTRAGE CUIVRE;ACHATS;701004;;;;;;607004;2/20 %;607504;8/20 %;
Détail;CIVESPL;CIVES POLONAIS ;;701008;15/20 %;701508;6/0 %;701908;7/0 %;607008;2/20 %;607508;8/20 %;
Détail;COLLIERS;COLLIERS pour chapeaux;;701012;15/20 %;;;;;607012;2/20 %;607512;8/20 %;
Détail;COUCU;COUDES CUIVRE;ACHATS;701004;;;;;;607004;2/20 %;607504;8/20 %;
Détail;COUPB;COUDES PLOMB;;701001;15/20 %;701501;6/0 %;701901;7/0 %;607001;;;;
Détail;CRAECO;CRAPAUDINES ECO;;701012;15/20 %;701512;6/0 %;701912;7/0 %;607012;2/20 %;;;
Détail;CRAINOX;CRAPAUDINES INOX;;701012;15/20 %;701512;6/0 %;701912;7/0 %;607012;2/20 %;;;
Détail;CRASTD;CRAPAUDINES STD;;701012;15/20 %;701512;6/0 %;701912;7/0 %;607012;2/20 %;;;
Détail;CROALPVC;CROSSE TV ALU PVC;;701011;15/20 %;701511;6/0 %;701911;7/0 %;607011;;;;
Détail;CROAL;CROSSE TV ALU;;701002;15/20 %;701502;6/0 %;701902;7/0 %;607002;;;;
Détail;CROPB;CROSSE TV CUIVRE/PLOMB;;701004;15/20 %;701504;6/0 %;701904;7/0 %;607004;;;;
Détail;DALU;DISQUES & PLATINES ALU;;701002;15/20 %;701502;6/0 %;701902;7/0 %;607002;2/20 %;607502;8/20 %;
Détail;DEPALUCPVC;DEPALU CONIQUES PVC;;701011;15/20 %;701511;6/0 %;701911;7/0 %;607011;;;;
Détail;DEPALUC;DEP ALU Conique;;701002;15/20 %;701502;6/0 %;701902;7/0 %;607002;;;;
Détail;DEPALUDPVC;DEPALU DROITE PVC;;701011;15/20 %;701511;6/0 %;701911;7/0 %;607011;;;;
Détail;DEPALUD;DEP ALU  droite;;701002;15/20 %;701502;6/0 %;701902;7/0 %;607002;;;;
Détail;DEPALUTPVC;DEPALU TP PVC;;701011;15/20 %;701511;6/0 %;701911;7/0 %;607011;;;;
Détail;DEPALUT;DEP ALU TP;;701002;15/20 %;701502;6/0 %;701902;7/0 %;607002;;;;
Détail;DISGA;DISQUE GALVA;;701003;15/20 %;;;;;607003;2/20 %;;;
Détail;DIVERS;DIVERS;;701012;15/20 %;701512;6/0 %;701912;7/0 %;607012;2/20 %;607512;8/20 %;
Détail;EPCALU;EP CONIQUES ALU SOUDE;;701002;15/20 %;701502;6/0 %;701902;7/0 %;607002;;;;
Détail;EPCGA;EP CONIQUES GALVA;;701003;15/20 %;701503;6/0 %;701903;7/0 %;607003;2/20 %;;;
Détail;EPCIN;EP CONIQUES INOX;;701006;15/20 %;701506;6/0 %;701906;7/0 %;607006;;;;
Détail;EPCPB;EP PLOMB CONIQUES;;701001;15/20 %;701501;6/0 %;701901;7/0 %;607001;;;;
Détail;EPCZN;EP ZINC CONIQUES;;701005;15/20 %;701505;6/0 %;701905;7/0 %;607005;;;;
Détail;EPDALU;EP DROITES ALU SOUDE;;701002;15/20 %;701502;6/0 %;701902;7/0 %;607002;;;;
Détail;EPDGA;EP DROITES GALVA;;701003;15/20 %;701503;6/0 %;701903;7/0 %;607003;2/20 %;;;
Détail;EPDIN;EP DROITES INOX;;701006;15/20 %;701506;6/0 %;701906;7/0 %;607006;;;;
Détail;EPDPB;EP PLOMB DROITES ;;701001;15/20 %;701501;6/0 %;701901;7/0 %;607001;;;;
Détail;EPDZN;EP DROITES ZINC;;701005;15/20 %;701505;6/0 %;701905;7/0 %;607005;;;;
Détail;FERBLANC;FER BLANC;VITRAIL;701012;15/20 %;701512;6/0 %;701912;7/0 %;607012;2/20 %;;;
Détail;FER;FER A SOUDER;VITRAIL;701012;15/20 %;701512;6/0 %;701912;7/0 %;607012;2/20 %;607512;8/20 %;607912
Détail;FILPB;FIL PLOMB;VITRAIL;701014;15/20 %;701514;6/0 %;701914;7/0 %;607014;;;;
Détail;FLOAT;FLOAT & MIROIR;VITRAIL;701008;15/20 %;701508;6/0 %;701908;7/0 %;607008;2/20 %;607508;8/20 %;
Détail;HSALU;HORS STANDARD ALU;;701002;15/20 %;701502;6/0 %;701902;7/0 %;607002;;;;
Détail;HSCUIVRE;HORS STANDARD CUIVRE/PLOMB;;701004;15/20 %;701504;6/0 %;701904;7/0 %;607004;;;;
Détail;HSDEP;HORS STANDARD DEP;;701002;15/20 %;701502;6/0 %;701902;7/0 %;607002;;;;
Détail;HSGALVA;HORS STANDARD GALVA;;701003;15/20 %;701503;6/0 %;701903;7/0 %;607003;;;;
Détail;HSINOX;HORS STANDARD INOX;;701006;15/20 %;701506;6/0 %;701906;7/0 %;607006;;;;
Détail;HSNESS;HORS STANDARD NESSALU;;701002;15/20 %;701502;6/0 %;701902;7/0 %;607002;;;;
Détail;HSPLOMB;HORS STANDARD PLOMB;;701001;15/20 %;701501;6/0 %;701901;7/0 %;607001;;;;
Détail;HSPVC;HORS STANDARD PVC;;701011;15/20 %;701511;6/0 %;701911;7/0 %;607011;;;;
Détail;HSZINC;HORS STANDARD ZINC;;701005;15/20 %;701505;6/0 %;701905;7/0 %;607005;;;;
Détail;HUILE;HUILE ;VITRAIL;701012;15/20 %;701512;6/0 %;701912;7/0 %;607012;2/20 %;607512;8/20 %;607912
Détail;LAIPB;LAINE DE PLOMB;;701001;15/20 %;701501;6/0 %;701901;7/0 %;607001;2/20 %;607501;8/20 %;
Détail;LINGPB;LINGOTS PLOMB;;701001;15/20 %;;;;;607001;2/20 %;607501;8/20 %;
Détail;NESD;NESSALU DROITES;;701002;15/20 %;701502;6/0 %;701902;7/0 %;607002;;;;
Détail;NEST;NESSALU TP CIRCULAIRES;;701002;15/20 %;701502;6/0 %;701902;7/0 %;607002;;;;
Détail;NESV;NESSALU VENTILATIONS;;701002;15/20 %;701502;6/0 %;701902;7/0 %;607002;;;;
Détail;OUTIL;OUTIL;VITRAIL;701012;15/20 %;701512;6/0 %;701912;7/0 %;607012;2/20 %;607512;8/20 %;607912
Détail;PAREGRAVZN;PARE GRAVIERS ZN ;;701005;15/20 %;701505;6/0 %;701905;7/0 %;607005;2/20 %;607505;8/20 %;
Détail;PASALU;PASS'CABLE ALU;;701002;15/20 %;701502;6/0 %;701902;7/0 %;607002;;;;
Détail;PATETA;PATE A ETAMER ;;701012;15/20 %;;;;;607012;2/20 %;;;
Détail;PBADH;PLOMB ADHESIF;VITRAIL;701012;15/20 %;701512;6/0 %;701912;7/0 %;607012;2/20 %;607512;8/20 %;607912
Détail;PBARME;PLOMB ARME;VITRAIL;701014;15/20 %;701514;6/0 %;701914;7/0 %;607014;;;;
Détail;PBFICELLE;PLOMB FICELLE;VITRAIL;701014;15/20 %;701514;6/0 %;701914;7/0 %;607014;;;;
Détail;PCD;PEINTURE GOUDRON;;701010;15/20 %;701510;6/0 %;701910;7/0 %;607010;2/20 %;;;
Détail;PEBAU;PLOMB EBAUCHE;VITRAIL;701014;15/20 %;701514;6/0 %;701914;7/0 %;607014;;;;
Détail;PEINTVER;PEINTURE pour VERRE = Grisailles;VITRAIL;701012;15/20 %;701512;6/0 %;701912;7/0 %;607012;2/20 %;;;607912
Détail;PGGA;PARE GRAVIER ALU;;701002;15/20 %;701502;6/0 %;701902;7/0 %;607002;;;;
Détail;PGG;PARE GRAVIER GALVA;;701003;15/20 %;701503;6/0 %;701903;7/0 %;607003;;;;
Détail;PINCEAUX;PINCEAUX D' ART;VITRAIL;701012;15/20 %;701512;6/0 %;701912;7/0 %;607012;2/20 %;607512;8/20 %;607912
Détail;PLAPB;PLATINES PLOMB;;701001;15/20 %;701501;6/0 %;701901;7/0 %;607001;;;;
Détail;PROFPBCM;PLOMB PROFILE COEUR MINCE;VITRAIL;701014;15/20 %;701514;6/0 %;701914;7/0 %;607014;;;;
Détail;PROFPBH;PLOMB PROFILE H;VITRAIL;701014;15/20 %;701514;6/0 %;701914;7/0 %;607014;;;;
Détail;PROFPBU;PLOMB PROFILE U;VITRAIL;701014;15/20 %;701514;6/0 %;701914;7/0 %;607014;;;;
Détail;PROFPBY;PLOMB PROFILE Y;VITRAIL;701014;15/20 %;701514;6/0 %;701914;7/0 %;607014;;;;
Détail;PROFPB;PLOMB PROFILE;VITRAIL;701014;15/20 %;701514;6/0 %;701914;7/0 %;607014;;;;
Détail;PROTECTION;PROTECTION;VITRAIL;701004;15/20 %;;;;;607004;2/20 %;;;
Détail;RIVALU;BANDES RIVE ALU;;701002;15/20 %;701502;6/0 %;701902;7/0 %;607002;;;;
Détail;RIVZINC;BANDES RIVES ZINC;;701005;15/20 %;701505;6/0 %;701905;7/0 %;607005;;;;
Détail;S;SOUDURE;;701007;15/20 %;701507;6/0 %;701907;7/0 %;607007;2/20 %;;;
Détail;TALUMINIUM;TOLE ALUMINIUM - laisser pour test ;;;;;;;;;;;;
Détail;TIGE;TIGES ACIER ;VITRAIL;701012;15/20 %;701512;6/0 %;701912;7/0 %;607012;2/20 %;;;
Détail;TOLACLAQ;TOLES ACIER LAQUE;ACHATS;701013;;;;;;607013;2/20 %;;;
Détail;TOLAL;TOLE ALU;;701002;15/20 %;701502;6/0 %;701902;7/0 %;607002;2/20 %;607502;8/20 %;
Détail;TOLCU;TOLE CUIVRE;;701004;15/20 %;701504;6/0 %;701904;7/0 %;607004;2/20 %;607504;8/20 %;
Détail;TOLGA;TOLE GALVA;;701003;15/20 %;701503;6/0 %;701903;7/0 %;607003;2/20 %;;;
Détail;TOLIN;TOLE INOX;;701006;15/20 %;701506;6/0 %;701906;7/0 %;607006;2/20 %;;;
Détail;TOLZN;TOLE ZINC;;701005;15/20 %;701505;6/0 %;701905;7/0 %;607005;2/20 %;607505;8/20 %;
Détail;TPCALUPVC;TP CYLINDRIQUES ALU PVC;;701011;15/20 %;701511;6/0 %;701911;7/0 %;607011;;;;
Détail;TPCALU;TP CYLINDRIQUES ALU;;701002;15/20 %;701502;6/0 %;701902;7/0 %;607002;;;;
Détail;TPCU;TROP PLEIN CUIVRE/PLOMB;;701004;15/20 %;701504;6/0 %;701904;7/0 %;607004;;;;
Détail;TPRALUPVC;TP RECTANGULAIRES ALU PVC;;701011;15/20 %;701511;6/0 %;701911;7/0 %;607011;;;;
Détail;TPRALU;TP RECTANGULAIRES ALU;;701002;15/20 %;701502;6/0 %;701902;7/0 %;607002;;;;
Détail;TPRGA;TP RECTANGULAIRES GALVA;;701003;15/20 %;701503;6/0 %;701903;7/0 %;607003;;;;
Détail;TPRPB;TP RECTANGULAIRES PLOMB;;701001;15/20 %;701501;6/0 %;701901;7/0 %;607001;;;;
Détail;TPRZN;TP RECTANGULAIRES ZINC;;701005;15/20 %;701505;6/0 %;701905;7/0 %;607005;;;;
Détail;TRANS;TRANSPORT;;701012;15/20 %;701512;6/0 %;701912;7/0 %;607012;2/20 %;607512;8/20 %;607912
Détail;TUBALU;TUBE ALUMINIUM ;;701002;15/20 %;701502;6/0 %;701902;7/0 %;607002;2/20 %;607502;8/20 %;
Détail;TUBCU;TUBE CUIVRE;;701004;15/20 %;701504;6/0 %;701904;7/0 %;607004;2/20 %;607504;8/20 %;
